UID,N,M,i,$\alpha_{i}$,First Contributor,r,$\beta$,$\epsilon$,$\rho_{C},$p_{C}$,Process
a582307f-8f1b-4916-94c2-892511d63290,6,20,3,4.9,,1.5,0.01,0.001,,0.006900986955138361,Intro
a582307f-8f1b-4916-94c2-892511d63290,6,20,4,0.2,,1.5,0.01,0.001,,0.006900986955138361,Intro
a582307f-8f1b-4916-94c2-892511d63290,6,20,5,0.2,,1.5,0.01,0.001,,0.006900986955138361,Intro
dfaf1e04-a12b-45aa-986f-b677c21f2588,6,20,0,3.9600000000000004,0,1.5,0.01,0.001,0.16567096419945077,,MP
dfaf1e04-a12b-45aa-986f-b677c21f2588,6,20,1,3.9600000000000004,0,1.5,0.01,0.001,0.16567096419945077,,MP
dfaf1e04-a12b-45aa-986f-b677c21f2588,6,20,2,3.9600000000000004,0,1.5,0.01,0.001,0.16567096419945077,,MP
dfaf1e04-a12b-45aa-986f-b677c21f2588,6,20,3,3.9600000000000004,0,1.5,0.01,0.001,0.16567096419945077,,MP
dfaf1e04-a12b-45aa-986f-b677c21f2588,6,20,4,3.9600000000000004,0,1.5,0.01,0.001,0.16567096419945077,,MP
dfaf1e04-a12b-45aa-986f-b677c21f2588,6,20,5,0.2,0,1.5,0.01,0.001,0.16567096419945077,,MP
82267a77-3cea-4485-9194-b1227e418939,6,20,0,3.9600000000000004,1,1.5,0.01,0.001,0.16520331334504965,,MP
82267a77-3cea-4485-9194-b1227e418939,6,20,1,3.9600000000000004,1,1.5,0.01,0.001,0.16520331334504965,,MP
82267a77-3cea-4485-9194-b1227e418939,6,20,2,3.9600000000000004,1,1.5,0.01,0.001,0.16520331334504965,,MP
82267a77-3cea-4485-9194-b1227e418939,6,20,3,3.9600000000000004,1,1.5,0.01,0.001,0.16520331334504965,,MP
82267a77-3cea-4485-9194-b1227e418939,6,20,4,3.9600000000000004,1,1.5,0.01,0.001,0.16520331334504965,,MP
82267a77-3cea-4485-9194-b1227e418939,6,20,5,0.2,1,1.5,0.01,0.001,0.16520331334504965,,MP
0a03cf86-168c-4e8c-b2be-b32ba2de9eb6,6,20,0,3.9600000000000004,2,1.5,0.01,0.001,0.3313750675626159,,MP
0a03cf86-168c-4e8c-b2be-b32ba2de9eb6,6,20,1,3.9600000000000004,2,1.5,0.01,0.001,0.3313750675626159,,MP
0a03cf86-168c-4e8c-b2be-b32ba2de9eb6,6,20,2,3.9600000000000004,2,1.5,0.01,0.001,0.3313750675626159,,MP
0a03cf86-168c-4e8c-b2be-b32ba2de9eb6,6,20,3,3.9600000000000004,2,1.5,0.01,0.001,0.3313750675626159,,MP
0a03cf86-168c-4e8c-b2be-b32ba2de9eb6,6,20,4,3.9600000000000004,2,1.5,0.01,0.001,0.3313750675626159,,MP
0a03cf86-168c-4e8c-b2be-b32ba2de9eb6,6,20,5,0.2,2,1.5,0.01,0.001,0.3313750675626159,,MP
4022e900-b950-4e53-8c4e-1d8ad5c1d299,6,20,0,3.9600000000000004,3,1.5,0.01,0.001,0.16520331334504965,,MP
4022e900-b950-4e53-8c4e-1d8ad5c1d299,6,20,1,3.9600000000000004,3,1.5,0.01,0.001,0.16520331334504965,,MP
4022e900-b950-4e53-8c4e-1d8ad5c1d299,6,20,2,3.9600000000000004,3,1.5,0.01,0.001,0.16520331334504965,,MP
4022e900-b950-4e53-8c4e-1d8ad5c1d299,6,20,3,3.9600000000000004,3,1.5,0.01,0.001,0.16520331334504965,,MP
4022e900-b950-4e53-8c4e-1d8ad5c1d299,6,20,4,3.9600000000000004,3,1.5,0.01,0.001,0.16520331334504965,,MP
4022e900-b950-4e53-8c4e-1d8ad5c1d299,6,20,5,0.2,3,1.5,0.01,0.001,0.16520331334504965,,MP
f800a251-ef2f-45fd-b907-de8cce448859,6,20,0,3.9600000000000004,4,1.5,0.01,0.001,0.331375067562616,,MP
f800a251-ef2f-45fd-b907-de8cce448859,6,20,1,3.9600000000000004,4,1.5,0.01,0.001,0.331375067562616,,MP
f800a251-ef2f-45fd-b907-de8cce448859,6,20,2,3.9600000000000004,4,1.5,0.01,0.001,0.331375067562616,,MP
f800a251-ef2f-45fd-b907-de8cce448859,6,20,3,3.9600000000000004,4,1.5,0.01,0.001,0.331375067562616,,MP
f800a251-ef2f-45fd-b907-de8cce448859,6,20,4,3.9600000000000004,4,1.5,0.01,0.001,0.331375067562616,,MP
f800a251-ef2f-45fd-b907-de8cce448859,6,20,5,0.2,4,1.5,0.01,0.001,0.331375067562616,,MP
a70b25c3-466d-4932-b421-198ac7d3ada0,6,20,0,3.9600000000000004,5,1.5,0.01,0.001,0.33098470884437425,,MP
a70b25c3-466d-4932-b421-198ac7d3ada0,6,20,1,3.9600000000000004,5,1.5,0.01,0.001,0.33098470884437425,,MP
a70b25c3-466d-4932-b421-198ac7d3ada0,6,20,2,3.9600000000000004,5,1.5,0.01,0.001,0.33098470884437425,,MP
a70b25c3-466d-4932-b421-198ac7d3ada0,6,20,3,3.9600000000000004,5,1.5,0.01,0.001,0.33098470884437425,,MP
a70b25c3-466d-4932-b421-198ac7d3ada0,6,20,4,3.9600000000000004,5,1.5,0.01,0.001,0.33098470884437425,,MP
a70b25c3-466d-4932-b421-198ac7d3ada0,6,20,5,0.2,5,1.5,0.01,0.001,0.33098470884437425,,MP
c43ade9f-37c1-449d-80bd-36883ad47d53,6,24,0,4.760000000000001,0,1.5,0.01,0.001,0.0712155980962963,,Fermi
c43ade9f-37c1-449d-80bd-36883ad47d53,6,24,1,4.760000000000001,0,1.5,0.01,0.001,0.0712155980962963,,Fermi
c43ade9f-37c1-449d-80bd-36883ad47d53,6,24,2,4.760000000000001,0,1.5,0.01,0.001,0.0712155980962963,,Fermi
c43ade9f-37c1-449d-80bd-36883ad47d53,6,24,3,4.760000000000001,0,1.5,0.01,0.001,0.0712155980962963,,Fermi
c43ade9f-37c1-449d-80bd-36883ad47d53,6,24,4,4.760000000000001,0,1.5,0.01,0.001,0.0712155980962963,,Fermi
c43ade9f-37c1-449d-80bd-36883ad47d53,6,24,5,0.2,0,1.5,0.01,0.001,0.0712155980962963,,Fermi
399537c7-a19f-469e-a890-68fadba477d3,6,24,0,4.760000000000001,1,1.5,0.01,0.001,0.04662779415328744,,Fermi
399537c7-a19f-469e-a890-68fadba477d3,6,24,1,4.760000000000001,1,1.5,0.01,0.001,0.04662779415328744,,Fermi
399537c7-a19f-469e-a890-68fadba477d3,6,24,2,4.760000000000001,1,1.5,0.01,0.001,0.04662779415328744,,Fermi
399537c7-a19f-469e-a890-68fadba477d3,6,24,3,4.760000000000001,1,1.5,0.01,0.001,0.04662779415328744,,Fermi
399537c7-a19f-469e-a890-68fadba477d3,6,24,4,4.760000000000001,1,1.5,0.01,0.001,0.04662779415328744,,Fermi
399537c7-a19f-469e-a890-68fadba477d3,6,24,5,0.2,1,1.5,0.01,0.001,0.04662779415328744,,Fermi
f287d010-6ef5-4662-9596-6de0b8f8e813,6,24,0,4.760000000000001,2,1.5,0.01,0.001,0.1438698467049453,,Fermi
f287d010-6ef5-4662-9596-6de0b8f8e813,6,24,1,4.760000000000001,2,1.5,0.01,0.001,0.1438698467049453,,Fermi
f287d010-6ef5-4662-9596-6de0b8f8e813,6,24,2,4.760000000000001,2,1.5,0.01,0.001,0.1438698467049453,,Fermi
f287d010-6ef5-4662-9596-6de0b8f8e813,6,24,3,4.760000000000001,2,1.5,0.01,0.001,0.1438698467049453,,Fermi
f287d010-6ef5-4662-9596-6de0b8f8e813,6,24,4,4.760000000000001,2,1.5,0.01,0.001,0.1438698467049453,,Fermi
f287d010-6ef5-4662-9596-6de0b8f8e813,6,24,5,0.2,2,1.5,0.01,0.001,0.1438698467049453,,Fermi
aff60136-a5ed-4a0e-8dbf-7f3fed05f211,6,24,0,4.760000000000001,3,1.5,0.01,0.001,0.04662779415328743,,Fermi
aff60136-a5ed-4a0e-8dbf-7f3fed05f211,6,24,1,4.760000000000001,3,1.5,0.01,0.001,0.04662779415328743,,Fermi
aff60136-a5ed-4a0e-8dbf-7f3fed05f211,6,24,2,4.760000000000001,3,1.5,0.01,0.001,0.04662779415328743,,Fermi
aff60136-a5ed-4a0e-8dbf-7f3fed05f211,6,24,3,4.760000000000001,3,1.5,0.01,0.001,0.04662779415328743,,Fermi
aff60136-a5ed-4a0e-8dbf-7f3fed05f211,6,24,4,4.760000000000001,3,1.5,0.01,0.001,0.04662779415328743,,Fermi
aff60136-a5ed-4a0e-8dbf-7f3fed05f211,6,24,5,0.2,3,1.5,0.01,0.001,0.04662779415328743,,Fermi
b3c21fd5-b7fa-4136-b0d4-dadb7d87d399,6,24,0,4.760000000000001,4,1.5,0.01,0.001,0.14386984670494524,,Fermi
b3c21fd5-b7fa-4136-b0d4-dadb7d87d399,6,24,1,4.760000000000001,4,1.5,0.01,0.001,0.14386984670494524,,Fermi
